,departure_airport_int,arriving_airport_int,departure_time_float,airline_int,date_year,date_month,date_day,date_dow,duration_hours,numStops,price_min_day,price_min,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21,Day 22,Day 23,Day 24,Day 25,Day 26,Day 27,Day 28,Day 29,Day 30,Day 31,Day 32,Day 33,Day 34,Day 35,Day 36,Day 37,Day 38,Day 39,Day 40,Day 41,Day 42,Day 43,Day 44,Day 45,Day 46,Day 47,Day 48,Day 49,Day 50,Day 51,Day 52,Day 53,Day 54,Day 55,Day 56,Day 57,Day 58,Day 59,Day 60
20,0,207,7.75,5,23,6,9,4,6,1,7,296,394,394,463,639,639,639,463,296,301,301,296,296,349,338,329,329.0,329.0,329.0,329.0,368.0,329.0,329.0,368.0,416.0,368.0,416.0,416.0,416.0,416.0,416.0,446.0,446.0,446.0,446.0,659.0,659.0,669.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0,659.0
21,0,207,16.05,2,23,6,9,4,5,1,37,328,394,394,394,394,394,394,416,416,643,550,416,416,416,416,416,416.0,416.0,329.0,329.0,416.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,338.0,338.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,450.0,450.0,450.0,450.0,328.0,328.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,540.0,540.0
22,0,79,10.917,2,23,6,9,4,4,1,39,138,264,264,397,264,264,264,220,277,284,284,220,220,230,284,284,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,230.0,169.0,169.0,169.0,230.0,230.0,223.0,228.0,228.0,228.0,223.0,223.0,138.0,223.0,175.0,175.0,223.0,223.0,223.0,223.0,223.0,223.0,377.0,377.0,377.0,,,,,,,,,
23,0,79,5.217,5,23,6,9,4,3,1,7,253,266,266,266,266,266,266,276,253,281,281,312,312,312,276,266,271.0,271.0,329.0,329.0,329.0,329.0,329.0,369.0,369.0,369.0,369.0,369.0,369.0,369.0,346.0,376.0,376.0,376.0,376.0,376.0,312.0,404.0,399.0,322.0,322.0,297.0,297.0,297.0,322.0,341.0,297.0,341.0,297.0,255.0,255.0,255.0,255.0,255.0,255.0,,,,,,,
24,0,79,20.283,5,23,6,9,4,3,1,37,140,266,266,266,266,266,266,222,222,222,227,222,222,222,150,150,150.0,150.0,150.0,150.0,150.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,145.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,156.0,
25,0,212,17.5,5,23,6,9,4,4,1,13,189,279,279,279,279,279,279,229,229,229,229,229,229,229,189,189,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,270,6.333,2,23,6,9,4,2,0,20,221,397,397,397,397,397,397,278,278,278,278,278,278,278,240,240,240.0,240.0,240.0,240.0,240.0,221.0,221.0,221.0,221.0,221.0,294.0,294.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,289.0,289.0,,,,,,,,
27,0,270,24.4,2,23,6,9,4,2,0,20,221,397,397,397,397,397,397,278,278,278,364,278,278,278,240,240,240.0,240.0,240.0,240.0,240.0,221.0,221.0,221.0,221.0,221.0,294.0,294.0,221.0,221.0,221.0,221.0,294.0,294.0,294.0,294.0,294.0,294.0,289.0,289.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,397.0,289.0,289.0,289.0,289.0,289.0,289.0,289.0,289.0,289.0,289.0,289.0,289.0,289.0
28,0,158,18.167,14,23,6,9,4,4,1,13,193,260,260,260,260,260,260,246,246,246,246,246,246,246,193,208,193.0,279.0,280.0,340.0,393.0,353.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,463.0,491.0,491.0,491.0,491.0,473.0,463.0,463.0,475.0,477.0,463.0,463.0,514.0,514.0,524.0,,,,,,,,,,,,,,,
29,0,158,6.083,5,23,6,9,4,1,0,37,209,509,935,509,509,509,509,459,935,509,935,409,409,409,309,309,309.0,309.0,309.0,309.0,309.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,219.0,219.0,219.0,219.0,219.0,219.0,214.0,214.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,,,,,,,,,,,,,,
30,0,158,17.5,5,23,6,9,4,2,0,37,209,509,509,509,509,509,509,409,409,409,414,409,409,409,309,309,309.0,309.0,309.0,309.0,309.0,259.0,259.0,289.0,259.0,289.0,259.0,259.0,259.0,259.0,219.0,219.0,219.0,219.0,219.0,219.0,214.0,214.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,209.0,249.0,,,,,,,,,,,,,,
31,0,330,18.167,14,23,6,9,4,4,1,13,193,260,260,260,260,260,260,246,246,246,246,246,246,246,193,193,193.0,332.0,271.0,331.0,399.0,399.0,430.0,430.0,430.0,430.0,430.0,430.0,430.0,430.0,430.0,430.0,483.0,488.0,488.0,493.0,493.0,493.0,502.0,502.0,502.0,,,,,,,,,,,,,,,,,,,,,
